Timestamp,Heart Rate,RR Interval
1740144293.495848,181,0.34
1740144293.495852,181,0.34
1740144294.4827058,180,0.344
1740144294.48274,180,0.348
1740144294.482744,180,0.348
1740144295.473349,179,0.344
1740144295.47338,179,0.352
1740144295.4733849,179,0.34
1740144296.461898,178,0.348
1740144296.461926,178,0.372
1740144296.46193,178,0.32
1740144297.455351,178,0.356
1740144297.4553778,178,0.356
1740144297.455383,178,0.344
1740144298.442869,178,0.352
1740144298.442903,178,0.376
1740144298.442909,178,0.352
1740144299.4350379,177,0.336
1740144299.435065,177,0.376
1740144300.424119,177,0.356
1740144300.4241521,177,0.331
1740144300.424156,177,0.364
1740144301.414022,178,0.376
1740144301.4140532,178,0.332
1740144301.414057,178,0.36
1740144302.4028108,177,0.384
1740144302.402851,177,0.336
1740144302.402865,177,0.356
1740144303.394368,177,0.384
1740144303.394401,177,0.336
1740144303.3944068,177,0.356
1740144304.382272,176,0.368
1740144304.382305,176,0.716
1740144305.373129,176,0.364
1740144305.373257,176,0.72
1740144306.363199,175,0.364
1740144306.3632379,175,0.364
1740144307.3530638,173,0.356
1740144307.353098,173,0.368
1740144307.3531039,173,0.384
1740144308.343665,171,0.34
1740144308.343698,171,0.368
1740144308.343702,171,0.384
1740144310.323646,170,0.34
1740144310.323679,170,0.368
1740144310.323686,170,0.388
1740144310.324464,170,0.34
1740144310.324471,170,0.364
1740144310.3244748,170,0.368
1740144311.3138208,169,0.368
1740144311.313849,169,0.364
1740144312.303136,168,0.364
1740144312.3031669,168,0.372
1740144312.303172,168,0.368
1740144313.298054,167,0.372
1740144313.298099,167,0.364
1740144313.298104,167,0.368
1740144314.284083,167,0.372
1740144314.284109,167,0.364
1740144314.284114,167,0.368
1740144315.27281,167,0.376
1740144315.2728388,167,0.368
1740144315.272844,167,0.368
1740144316.263765,166,0.376
1740144316.263795,166,0.372
1740144317.254445,165,0.372
1740144317.2544808,165,0.372
1740144317.2544901,165,0.38
1740144318.244062,165,0.372
1740144318.2440908,165,0.376
1740144318.244097,165,0.38
1740144319.236276,164,0.376
1740144319.236306,164,0.372
1740144320.221123,163,0.38
1740144320.2211342,163,0.375
1740144320.221138,163,0.384
1740144321.214272,163,0.376
1740144321.2143009,163,0.38
1740144321.214307,163,0.384
1740144322.202858,162,0.38
1740144322.202892,162,0.38
1740144322.2029,162,0.388
1740144323.192822,162,0.372
1740144323.192848,162,0.384
1740144324.1822321,161,0.384
1740144324.182265,161,0.384
1740144324.182272,161,0.384
1740144326.1639922,161,0.388
1740144326.164022,161,0.392
1740144326.164027,161,0.38
1740144327.1528,160,0.392
1740144327.152826,160,0.388
1740144328.1445708,159,0.388
1740144328.1446028,159,0.392
1740144328.144608,159,0.392
1740144328.1452658,159,0.384
1740144328.145272,159,0.396
1740144329.135437,158,0.388
1740144329.135468,158,0.388
1740144329.135472,158,0.392
1740144330.1220841,158,0.388
1740144330.12211,158,0.388
1740144330.122116,158,0.396
1740144331.11264,158,0.384
1740144331.1126678,158,0.388
1740144332.1029918,158,0.396
1740144332.1030312,158,0.388
1740144332.103039,158,0.388
1740144333.094097,158,0.392
1740144333.094135,158,0.392
1740144333.094143,158,0.392
1740144334.083869,157,0.388
1740144334.083905,157,0.396
1740144335.0728,157,0.392
1740144335.0728252,157,0.396
1740144335.072829,157,0.396
1740144336.062378,156,0.392
1740144336.0624142,156,0.404
1740144337.05499,156,0.388
1740144337.055029,156,0.396
1740144337.055037,156,0.4
1740144338.043159,156,0.392
1740144338.04319,156,0.396
1740144338.043194,156,0.404
1740144339.03832,156,0.396
1740144339.038347,156,0.4
1740144340.0225248,155,0.399
1740144340.0225651,155,0.396
1740144340.022573,155,0.404
1740144341.013602,154,0.4
1740144341.0136352,154,0.4
1740144342.003581,154,0.408
1740144342.0036118,154,0.4
1740144342.003617,154,0.404
1740144343.984836,153,0.404
1740144343.984868,153,0.404
1740144343.985615,152,0.404
1740144343.985621,152,0.408
1740144343.985624,152,0.404
